HGNC:21014	ANTXR1	atr
HGNC:21041	HECA	hdc
HGNC:21114	C6orf89	brap
HGNC:21186	ATAT1	tat
HGNC:21199	PBXIP1	hpip
HGNC:21302	KCTD11	ren
HGNC:21350	PDHX	pdx1
HGNC:21411	AIFM2	prg3
HGNC:21444	UPK3B	p35
HGNC:21531	GALNT15	galnt7
HGNC:21535	GTPBP4	ngb
HGNC:21708	CCM2	osm
HGNC:21710	TBC1D9	mdr1
HGNC:2187	COL11A2	parp
HGNC:22048	NANOS3	nos3
HGNC:2235	KLF6	pac1
HGNC:2239	COPS3	csn3
HGNC:2244	COQ7	clk1
HGNC:2252	CORO1A	p57
HGNC:2289	COX7A2L	eb1
HGNC:22921	SLC25A2	orc2
HGNC:22948	NLRP2	nbs1
HGNC:23028	DPEP2	mbd2
HGNC:23029	DPEP3	mbd3
HGNC:23034	CNKSR3	magi1
HGNC:23044	NANOS1	nos1
HGNC:23217	GKN1	ca11
HGNC:23228	CPAMD8	vip
HGNC:23249	MOGAT3	mgat3
HGNC:23292	NANOS2	nos2
HGNC:23304	PRAP1	upa
HGNC:23357	MCTS1	mct1
HGNC:23360	CCAR2	dbc1
HGNC:23386	MYCBP2	pam
HGNC:2352	CREM	icer
HGNC:23576	HOOK3	hk3
HGNC:2362	CRK	p38
HGNC:2365	CRMP1	drp1
HGNC:2366	CROT	cot
HGNC:23682	PLPP6	pdp1
HGNC:23696	TIPARP	parp-1
HGNC:23719	PGAP3	per1
HGNC:23725	ARHGAP21	arhgap10
HGNC:23726	FAM107B	hits
HGNC:23781	POLDIP2	p38
HGNC:23793	MAGED4	magee1
HGNC:24008	MIA3	arnt
HGNC:24042	WWTR1	taz
HGNC:24050	CREBRF	lrf
HGNC:24090	ATRAID	p18
HGNC:24103	ASCC2	p100
HGNC:24114	AURKAIP1	aip
HGNC:24136	B4GALNT2	cad
HGNC:24164	TPPP	p25
HGNC:24182	C1QL1	crf
HGNC:24251	TMED5	p28
HGNC:24253	TMED7	p27
HGNC:24265	PTRH2	pth
HGNC:24265	PTRH2	pth2
HGNC:24268	ASCC1	p50
HGNC:24304	NCAPG	capg
HGNC:24325	CDKN2AIP	carf
HGNC:24343	CXXC1	spp1
HGNC:2440	CSH1	csa
HGNC:2441	CSH2	csb
HGNC:2445	CSN1S1	csn1
HGNC:24477	UTP3	crl1
HGNC:24546	CNRIP1	crip1
HGNC:24577	DESI1	desi2
HGNC:24579	CIB2	kip2
HGNC:24589	FILIP1L	doc-1
HGNC:24594	DCTN5	p25
HGNC:2459	CSNK2A2	csnk2a1
